CTFP,CensusTract_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
39001770100,4173,88.0,93.0,76.0,81.0,79.0,60.0,61.0,96.0,1.208277,0.31431311,0.18594687,0.1919612,0.79421222,0.10568112,0.362248,0.028100183
39001770200,5055,66.0,71.0,74.0,60.0,58.0,40.0,38.0,92.0,0.43507916,0.16370533,0.17797229,0.11422846,0.65336031,0.056799565,0.24849808,0.012561441
39001770300,7241,60.0,52.0,52.0,83.0,74.0,35.0,33.0,83.0,0.26779097,0.10871071,0.11962891,0.20057423,0.52110392,0.089245707,0.22367439,0.009708738
39001770400,4186,84.0,84.0,96.0,81.0,67.0,64.0,34.0,82.0,1.0420271,0.22895882,0.34308779,0.18925649,0.51284981,0.072790295,0.39572501,0.010398613
39001770500,3711,77.0,89.0,47.0,92.0,63.0,35.0,39.0,94.0,0.79613978,0.26327136,0.10944206,0.28379446,0.68359941,0.065330364,0.22345954,0.012620638
39001770600,3410,83.0,88.0,73.0,88.0,87.0,55.0,1.0,98.0,1.0059003,0.257478,0.17516629,0.24383104,0.89061224,0.14561766,0.33195308,0.0
39003010100,4339,16.0,14.0,7.0,31.0,46.0,40.0,1.0,33.0,-1.0730549,0.039636455,0.032771535,0.059215136,0.30079034,0.040590405,0.24846248,0.0
39003010200,4056,21.0,38.0,34.0,36.0,17.0,15.0,23.0,14.0,-0.91004205,0.080612756,0.086880974,0.067349926,0.23802681,0.014824797,0.13207547,0.0053908355
39003010300,1587,6.0,7.0,2.0,28.0,10.0,5.0,53.0,35.0,-1.4720128,0.025204789,0.012578616,0.054123711,0.30534351,0.0083472459,0.070116863,0.021702837
39003010600,4906,51.0,53.0,53.0,59.0,33.0,37.0,53.0,73.0,-0.010367557,0.1115234,0.12163147,0.11338925,0.45100865,0.027746947,0.23584905,0.02164262
39003010800,7914,33.0,34.0,55.0,43.0,51.0,34.0,16.0,25.0,-0.53654242,0.073056467,0.12630622,0.078878015,0.27509481,0.046904914,0.22112316,0.00063816208
39003010900,4491,61.0,65.0,86.0,9.0,75.0,69.0,50.0,58.0,0.27467921,0.14599894,0.23199153,0.023515346,0.38022664,0.090909094,0.43537787,0.019715225
39003011000,5232,74.0,83.0,92.0,30.0,71.0,80.0,34.0,45.0,0.68770015,0.22446956,0.28041074,0.057167236,0.33608711,0.080412373,0.54144329,0.010309278
39003011200,2848,68.0,67.0,75.0,76.0,57.0,21.0,84.0,100.0,0.50620943,0.15175375,0.18158568,0.16853449,2.036129,0.055755395,0.16007194,0.064748198
39003011300,7400,35.0,46.0,64.0,50.0,39.0,20.0,1.0,36.0,-0.47136477,0.0956911,0.14958718,0.093482159,0.30970055,0.033533357,0.15390046,0.0
39003011400,2931,14.0,29.0,30.0,25.0,15.0,7.0,41.0,21.0,-1.1297485,0.064080358,0.079503104,0.049141221,0.26169491,0.012939001,0.085951939,0.013863216
39003011500,2679,19.0,37.0,59.0,22.0,8.0,13.0,20.0,18.0,-0.984891,0.077267639,0.13526569,0.044456348,0.25390071,0.007209063,0.12255407,0.0041194647
39003011600,2623,47.0,47.0,20.0,63.0,68.0,36.0,49.0,46.0,-0.12359038,0.098828122,0.060205579,0.12375745,0.34136546,0.075454548,0.23,0.01909091
39003011800,2295,25.0,28.0,46.0,33.0,6.0,47.0,18.0,37.0,-0.77165633,0.062694527,0.10754414,0.061567165,0.31153497,0.0051440331,0.28600824,0.0030864198
39003011900,2852,43.0,50.0,60.0,35.0,62.0,35.0,25.0,51.0,-0.23406819,0.10403397,0.13751508,0.065939061,0.35719109,0.063763611,0.22550544,0.0062208399
39003012000,2470,3.0,5.0,32.0,9.0,21.0,4.0,1.0,42.0,-1.6270893,0.020242915,0.082687341,0.022883296,0.32838589,0.018036073,0.064128257,0.0
39003012100,3435,8.0,4.0,28.0,15.0,26.0,16.0,31.0,45.0,-1.400247,0.018983645,0.075999998,0.033772651,0.33592349,0.021548284,0.13407822,0.0087789306
39003012200,3747,86.0,91.0,98.0,78.0,85.0,79.0,1.0,47.0,1.1361694,0.29170004,0.37128714,0.17497604,0.34176472,0.13350785,0.52814138,0.0
39003012300,3898,64.0,55.0,84.0,63.0,57.0,71.0,34.0,30.0,0.3823531,0.1159569,0.22169362,0.12278631,0.29193792,0.055485498,0.44640607,0.010088272
39003012400,2110,82.0,89.0,99.0,45.0,81.0,81.0,74.0,5.0,0.98481995,0.26437345,0.4375,0.082537517,0.19483986,0.11382879,0.55315143,0.044214487
39003012600,1838,71.0,80.0,96.0,48.0,60.0,72.0,1.0,52.0,0.61184984,0.20574713,0.34126985,0.088286713,0.35888889,0.058910161,0.46097201,0.0
39003012700,1628,95.0,97.0,99.0,92.0,94.0,88.0,17.0,71.0,1.5316465,0.38329238,0.40155441,0.28483605,0.43815789,0.24884081,0.65224111,0.001545595
39003012900,1603,93.0,97.0,100.0,70.0,94.0,86.0,21.0,90.0,1.4057424,0.37933335,0.5731343,0.14457831,0.61686391,0.23065016,0.61919504,0.0046439627
39003013000,4185,68.0,60.0,78.0,49.0,83.0,71.0,47.0,52.0,0.50883597,0.13086177,0.1928651,0.090814918,0.35927558,0.12089716,0.44967178,0.017505471
