COUNTYFP,County_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
001,27776,80,93,90,90,74,29,11,98,0.95537549,0.20655462,0.17622453,0.19824091,0.64405543,0.088166401,0.29176426,0.012180268
003,103175,47,56,91,38,69,42,7,52,-0.061643444,0.13925812,0.17993988,0.096970133,0.3726607,0.080393605,0.3293235,0.010602706
005,53536,39,55,27,54,63,19,31,33,-0.31840771,0.13803369,0.11140012,0.11525347,0.33967745,0.073174313,0.26213449,0.018171132
007,97830,78,91,54,74,83,30,38,92,0.8119728,0.19893479,0.13498209,0.13980877,0.5312807,0.098197296,0.29477692,0.020168111
009,65917,81,100,59,41,68,74,34,98,1.0242472,0.30158249,0.14051655,0.099799916,0.65731353,0.077891566,0.4215543,0.01910715
011,45729,9,16,42,18,20,13,14,4,-1.4429401,0.08377742,0.12608895,0.0733587,0.24856088,0.043890301,0.24269377,0.01328886
013,68024,31,44,37,39,61,12,1,93,-0.59374529,0.12331804,0.1204583,0.098386072,0.5452171,0.070797488,0.23581156,0.0038581735
015,43572,53,70,58,60,49,23,19,72,0.1221839,0.15303646,0.1396725,0.12135076,0.41246977,0.061921589,0.27640361,0.014190364
017,380019,34,46,51,34,31,38,21,50,-0.45217109,0.12526678,0.13465902,0.093699552,0.36962861,0.051857125,0.31881276,0.014851236
019,27332,23,44,10,46,25,7,6,63,-0.81855994,0.12276272,0.090551697,0.10543992,0.39382571,0.04788458,0.21348912,0.0098247482
021,38845,20,27,42,30,32,21,21,51,-0.93571872,0.10145922,0.12666409,0.088373303,0.37070009,0.052048288,0.26835543,0.015106537
023,134726,57,64,87,51,63,46,24,63,0.26646778,0.14899465,0.170817,0.11280554,0.39505863,0.073734827,0.34011629,0.015887816
025,204275,13,20,20,38,24,18,14,22,-1.2170501,0.089720793,0.10456856,0.097542085,0.31818795,0.047738083,0.25836763,0.013152328
027,41957,57,63,80,57,32,50,40,45,0.24954197,0.1480002,0.16249549,0.11656616,0.36534446,0.052093416,0.35364231,0.02087367
029,103190,45,58,41,53,57,20,28,81,-0.11837146,0.14307167,0.12546653,0.11468192,0.46536472,0.068420924,0.2648482,0.017309869
031,36585,53,60,33,75,82,18,38,73,0.11063448,0.1437051,0.11715269,0.14518613,0.41913149,0.096504562,0.26022381,0.020240398
033,41821,49,68,78,39,61,32,3,60,0.00031270069,0.14947106,0.15985395,0.098397389,0.38858062,0.070970647,0.30322799,0.0081543131
035,1247451,74,84,91,42,91,73,10,58,0.72261155,0.17457402,0.18163326,0.10178307,0.38423106,0.12845747,0.41759819,0.0119712
037,51513,16,30,18,32,27,23,11,14,-1.1000959,0.10510854,0.10100447,0.09153571,0.2906214,0.049086813,0.27203873,0.01217583
039,38160,15,27,54,30,34,12,7,14,-1.1180177,0.10179049,0.13536792,0.088441938,0.29087904,0.053409167,0.23717068,0.01026345
041,201135,1,2,8,1,4,3,2,8,-2.0628428,0.048070617,0.086031713,0.036087874,0.27343029,0.02639137,0.18615417,0.0069586341
043,74780,27,38,66,25,50,33,2,31,-0.72004038,0.11687554,0.14705735,0.082290873,0.33678472,0.062854759,0.30753937,0.0069268513
045,154457,15,22,46,18,24,19,26,44,-1.1180915,0.09204562,0.12787211,0.073531106,0.36125058,0.047373932,0.26065424,0.016808961
047,28620,72,79,90,75,65,50,7,77,0.68576431,0.16195153,0.17707559,0.1432139,0.43709874,0.076276228,0.35088763,0.010277755
049,1290360,66,72,92,30,64,86,45,20,0.53579921,0.15707986,0.1818403,0.088297732,0.30983695,0.074412405,0.46613237,0.022882136
051,42253,8,13,29,29,10,6,24,12,-1.4659824,0.07846202,0.11217102,0.08690501,0.28772581,0.03665334,0.20937841,0.015812432
053,30088,68,93,10,82,67,16,30,93,0.57136452,0.2069944,0.089382522,0.1601451,0.54343212,0.077493958,0.25517777,0.017949603
055,93843,8,4,1,39,79,1,35,8,-1.4740911,0.057549,0.050459068,0.097817138,0.27568945,0.09099666,0.1368916,0.019406199
057,166502,24,38,43,10,22,45,8,58,-0.78632331,0.11599029,0.12678826,0.062032573,0.38389662,0.045378331,0.33912566,0.011051156
059,39111,76,91,77,75,70,26,24,83,0.75417823,0.19876035,0.15908872,0.14463867,0.47811371,0.080887794,0.28538841,0.015906289
061,813589,64,75,93,28,89,74,24,29,0.4720054,0.15762883,0.18574747,0.086282715,0.33384103,0.11323503,0.42088437,0.016008869
063,75837,18,31,39,20,35,35,3,15,-1.0217392,0.10784407,0.12291259,0.075231969,0.2967737,0.054450952,0.31186399,0.0078279115
065,31425,42,55,34,46,70,28,16,69,-0.23749602,0.13891666,0.11837411,0.10534001,0.4046872,0.081520811,0.28951874,0.013700976
067,15211,54,78,15,68,78,7,22,94,0.17550558,0.15998924,0.099049881,0.1319052,0.55972964,0.089828059,0.21115218,0.015265949
069,27208,8,16,67,11,13,9,1,15,-1.4792014,0.084097803,0.14898892,0.065208137,0.29323196,0.040756915,0.22625546,0.0034570596
071,43016,78,90,55,77,70,36,36,91,0.82440376,0.19391778,0.13652971,0.1490514,0.5229215,0.080968283,0.31564513,0.019437157
073,28390,45,50,65,48,41,15,60,80,-0.13125286,0.13264386,0.14521618,0.10917009,0.4608295,0.058302321,0.24871522,0.030125819
