ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
15059,4239,80.0,71.0,94.0,53.0,83.0,75.0,59.0,82.0,0.93667567,0.16552377,0.25265959,0.10281014,0.36100534,0.10958118,0.45668387,0.027538726
16112,1512,24.0,21.0,49.0,49.0,20.0,4.0,46.0,16.0,-0.81285584,0.063492067,0.12387387,0.096601076,0.22175732,0.027692307,0.10461538,0.02
16115,3324,13.0,10.0,11.0,25.0,43.0,16.0,9.0,60.0,-1.212935,0.043899484,0.062291436,0.058154237,0.30067569,0.047619049,0.19047619,0.0046838406
16116,2741,32.0,31.0,43.0,65.0,30.0,9.0,21.0,50.0,-0.55400264,0.079718202,0.11439589,0.13095239,0.28252149,0.036101084,0.14801444,0.0099277981
16120,2245,67.0,70.0,83.0,75.0,76.0,15.0,53.0,52.0,0.48756328,0.16188341,0.19326501,0.15779702,0.28560993,0.091586791,0.18104367,0.02342918
16121,4668,90.0,97.0,88.0,67.0,89.0,73.0,58.0,97.0,1.2970576,0.33092421,0.21659389,0.13596915,0.47892576,0.14557824,0.44444445,0.026757369
16125,16974,54.0,58.0,51.0,50.0,78.0,34.0,47.0,76.0,0.10647053,0.13134693,0.12714544,0.097424783,0.3416155,0.096290909,0.26385453,0.020363636
16132,390,45.0,84.0,98.0,6.0,1.0,27.0,1.0,63.0,-0.17067616,0.21282052,0.30927834,0.026666667,0.30769232,0.0,0.23972602,0.0
16134,3774,47.0,72.0,43.0,57.0,55.0,8.0,17.0,85.0,-0.09676642,0.1698315,0.11377778,0.11060071,0.37604848,0.05952381,0.13869047,0.0083333338
16143,2427,20.0,44.0,8.0,19.0,38.0,7.0,1.0,50.0,-0.95027232,0.10383189,0.057068743,0.048951048,0.28297055,0.043314502,0.13370998,0.0
16146,13242,93.0,93.0,96.0,75.0,94.0,81.0,56.0,84.0,1.4235859,0.27245668,0.27254099,0.15979044,0.36959636,0.20829862,0.50158304,0.025329111
16148,16120,33.0,42.0,33.0,29.0,72.0,36.0,5.0,23.0,-0.52516711,0.099778831,0.098996654,0.063871443,0.23586619,0.082132757,0.27373099,0.0018850141
16150,6960,37.0,46.0,48.0,41.0,82.0,32.0,5.0,45.0,-0.4081583,0.10646552,0.1220959,0.082796328,0.27365184,0.10513063,0.25747561,0.0025180988
16155,125,,94.0,1.0,88.0,87.0,99.0,1.0,1.0,,0.28099173,0.0,0.22314049,0.0,0.13043478,0.84782606,0.0
16159,4689,34.0,44.0,50.0,38.0,36.0,22.0,30.0,42.0,-0.49344012,0.10343356,0.12542838,0.078280672,0.26898509,0.04149184,0.21864802,0.013519813
16401,6780,62.0,58.0,64.0,76.0,64.0,30.0,58.0,100.0,0.33353594,0.1333643,0.14953271,0.16123627,0.63144177,0.070276499,0.24884793,0.026497696
16406,3069,42.0,56.0,11.0,58.0,75.0,15.0,26.0,56.0,-0.25934622,0.12794502,0.062211983,0.11392405,0.29334038,0.087974176,0.18321227,0.012106538
16411,1590,44.0,70.0,66.0,35.0,24.0,21.0,1.0,17.0,-0.20405437,0.16477987,0.15331808,0.072463766,0.22370937,0.031496063,0.21417323,0.0
16424,4662,39.0,55.0,38.0,61.0,56.0,9.0,4.0,56.0,-0.34111544,0.12524252,0.10717163,0.12148148,0.2943837,0.059850372,0.14763093,0.0014962594
16435,1785,63.0,69.0,60.0,77.0,87.0,25.0,51.0,57.0,0.37895346,0.15873016,0.14115308,0.16532259,0.294635,0.13210227,0.22869319,0.022727273
16443,1247,21.0,22.0,19.0,63.0,63.0,2.0,1.0,12.0,-0.89966983,0.064955898,0.077348068,0.12624584,0.21161826,0.069444448,0.079365082,0.0
25106,598,77.0,93.0,15.0,90.0,95.0,60.0,14.0,99.0,0.80226392,0.27926421,0.069930069,0.23755656,0.53581661,0.22743683,0.37184116,0.0072202166
25247,530,61.0,89.0,94.0,33.0,75.0,54.0,1.0,76.0,0.31285983,0.24091779,0.26011559,0.070129871,0.3417367,0.087866105,0.34309623,0.0
25253,2423,22.0,43.0,15.0,30.0,21.0,24.0,46.0,54.0,-0.88544762,0.10152704,0.071045578,0.065688774,0.29023919,0.028311426,0.22548029,0.020222448
25260,1494,63.0,80.0,60.0,78.0,90.0,16.0,15.0,88.0,0.36771509,0.19477911,0.14249364,0.17070979,0.3903302,0.15474452,0.18540145,0.00729927
25262,890,12.0,23.0,1.0,56.0,37.0,1.0,1.0,64.0,-1.2328731,0.066292137,0.0,0.1083815,0.30988592,0.042452831,0.056603774,0.0
25264,241,31.0,2.0,1.0,85.0,86.0,31.0,1.0,19.0,-0.57837439,0.024896266,0.0,0.2028302,0.22807017,0.12173913,0.2521739,0.0
25265,1678,60.0,80.0,69.0,57.0,83.0,29.0,1.0,90.0,0.2848309,0.19427891,0.15837105,0.11139674,0.40000001,0.110957,0.24410541,0.0
25287,1107,35.0,42.0,25.0,94.0,1.0,2.0,1.0,100.0,-0.47911534,0.1,0.086956523,0.27290836,0.74441963,0.0,0.0661157,0.0
25502,932,73.0,94.0,1.0,90.0,93.0,48.0,1.0,99.0,0.69403201,0.28755364,0.0,0.23308271,0.52058822,0.19774011,0.31920904,0.0
25503,1388,43.0,51.0,13.0,50.0,66.0,40.0,1.0,98.0,-0.23488283,0.1167147,0.065830722,0.098751418,0.48695651,0.072265625,0.28710938,0.0
25515,2042,42.0,53.0,1.0,74.0,40.0,17.0,62.0,95.0,-0.26144132,0.12091179,0.0,0.15379624,0.44309926,0.045191195,0.19466975,0.028968714
25520,1497,35.0,50.0,3.0,93.0,1.0,7.0,1.0,99.0,-0.45601937,0.11556447,0.034188036,0.27021495,0.51885372,0.0,0.13618676,0.0
