MSA,year,code,count,count_patient,prevalence
10420,2016,A00-B99,10056,75040,0.1340085287846482
10420,2016,C00-D49,9797,75040,0.13055703624733475
10420,2016,D50-D89,4898,75040,0.06527185501066098
10420,2016,E00-E89,25231,75040,0.33623400852878466
10420,2016,F01-F99,19974,75040,0.2661780383795309
10420,2016,G00-G99,13928,75040,0.18560767590618338
10420,2016,H00-H59,10747,75040,0.14321695095948828
10420,2016,H60-H95,8739,75040,0.11645788912579957
10420,2016,I00-I99,18354,75040,0.24458955223880596
10420,2016,J00-J99,28819,75040,0.3840485074626866
10420,2016,K00-K95,15146,75040,0.20183901918976546
10420,2016,L00-L99,16723,75040,0.2228544776119403
10420,2016,M00-M99,26418,75040,0.35205223880597014
10420,2016,N00-N99,16222,75040,0.21617803837953092
10420,2016,O00-O9A,2183,75040,0.029091151385927504
10420,2016,P00-P96,801,75040,0.010674307036247334
10420,2016,Q00-Q99,1929,75040,0.025706289978678038
10420,2016,R00-R99,37676,75040,0.5020788912579958
10420,2016,S00-T88,14574,75040,0.19421641791044778
10420,2016,V00-Y99,4093,75040,0.05454424307036247
10420,2016,Z00-Z99,57048,75040,0.7602345415778251
10420,2017,A00-B99,8977,63461,0.14145695781661177
10420,2017,C00-D49,8841,63461,0.13931390933013976
10420,2017,D50-D89,4299,63461,0.0677423929657585
10420,2017,E00-E89,22545,63461,0.3552575597611131
10420,2017,F01-F99,17679,63461,0.2785805455319015
10420,2017,G00-G99,12511,63461,0.19714470304596524
10420,2017,H00-H59,9455,63461,0.1489891429381825
10420,2017,H60-H95,7467,63461,0.11766281653298877
10420,2017,I00-I99,15922,63461,0.2508942500118183
10420,2017,J00-J99,25005,63461,0.3940215250311215
10420,2017,K00-K95,12969,63461,0.20436173397834892
10420,2017,L00-L99,14760,63461,0.2325837916200501
10420,2017,M00-M99,22523,63461,0.35491089015300736
10420,2017,N00-N99,13888,63461,0.2188430689714943
10420,2017,O00-O9A,1830,63461,0.02883660831061597
10420,2017,P00-P96,718,63461,0.011314035391815446
10420,2017,Q00-Q99,1655,63461,0.026079009155229194
10420,2017,R00-R99,32777,63461,0.5164904429492129
10420,2017,S00-T88,12152,63461,0.19148768535005753
10420,2017,V00-Y99,3290,63461,0.05184286412127133
10420,2017,Z00-Z99,49486,63461,0.779786010305542
10420,2018,A00-B99,8409,57907,0.1452156043310826
10420,2018,C00-D49,7852,57907,0.13559673269207523
10420,2018,D50-D89,3860,57907,0.0666586077676274
10420,2018,E00-E89,20752,57907,0.3583677275631616
10420,2018,F01-F99,17045,57907,0.29435128740912153
10420,2018,G00-G99,11773,57907,0.20330875369126358
10420,2018,H00-H59,8164,57907,0.14098468233546893
10420,2018,H60-H95,6982,57907,0.12057264234030428
10420,2018,I00-I99,13945,57907,0.24081717236258138
10420,2018,J00-J99,21976,57907,0.37950506847186005
10420,2018,K00-K95,11966,57907,0.20664168407964495
10420,2018,L00-L99,13353,57907,0.2305938832956292
10420,2018,M00-M99,20429,57907,0.3527898181566995
10420,2018,N00-N99,12545,57907,0.21664047524478905
